"REF_DATE","GEO","DGUID","Distance-capacity public transit service area","Location","Gender","Demographic and socio-economic","Sustainable Development Goals (SDGs) 11.2.1 indicator","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Unemployed","Count of population within service area","Persons","249","units","0","v1635298464","559.4.1.1.59.1","50120","","","","0"
"2024","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Unemployed","Count of population within service area","Persons","249","units","0","v1635298464","559.4.1.1.59.1","50155","","","","0"
"2023","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Unemployed","Proportion of population within service area","Percent","239","units","0","v1639322358","559.4.1.1.59.2","81.8","","","","1"
"2024","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Unemployed","Proportion of population within service area","Percent","239","units","0","v1639322358","559.4.1.1.59.2","81.9","","","","1"
"2023","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Not in the labour force","Count of population within service area","Persons","249","units","0","v1635379482","559.4.1.1.60.1","245895","","","","0"
"2024","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Not in the labour force","Count of population within service area","Persons","249","units","0","v1635379482","559.4.1.1.60.1","246010","","","","0"
"2023","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Not in the labour force","Proportion of population within service area","Percent","239","units","0","v1639403376","559.4.1.1.60.2","77.3","","","","1"
"2024","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Not in the labour force","Proportion of population within service area","Percent","239","units","0","v1639403376","559.4.1.1.60.2","77.3","","","","1"
"2023","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","Total - Age groups of the population - 100% data","Count of population within service area","Persons","249","units","0","v1631842982","559.5.1.1.1.1","42350","","","","0"
"2024","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","Total - Age groups of the population - 100% data","Count of population within service area","Persons","249","units","0","v1631842982","559.5.1.1.1.1","42395","","","","0"
"2023","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","Total - Age groups of the population - 100% data","Proportion of population within service area","Percent","239","units","0","v1635866876","559.5.1.1.1.2","3.7","","","","1"
"2024","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","Total - Age groups of the population - 100% data","Proportion of population within service area","Percent","239","units","0","v1635866876","559.5.1.1.1.2","3.7","","","","1"
"2023","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","0 to 14 years","Count of population within service area","Persons","249","units","0","v1631924000","559.5.1.1.2.1","3375","","","","0"
"2024","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","0 to 14 years","Count of population within service area","Persons","249","units","0","v1631924000","559.5.1.1.2.1","3380","","","","0"
"2023","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","0 to 14 years","Proportion of population within service area","Percent","239","units","0","v1635947894","559.5.1.1.2.2","1.8","","","","1"
"2024","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","0 to 14 years","Proportion of population within service area","Percent","239","units","0","v1635947894","559.5.1.1.2.2","1.8","","","","1"
"2023","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","15 to 64 years","Count of population within service area","Persons","249","units","0","v1632005018","559.5.1.1.3.1","33270","","","","0"
"2024","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","15 to 64 years","Count of population within service area","Persons","249","units","0","v1632005018","559.5.1.1.3.1","33300","","","","0"
"2023","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","15 to 64 years","Proportion of population within service area","Percent","239","units","0","v1636028912","559.5.1.1.3.2","4.4","","","","1"
"2024","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","15 to 64 years","Proportion of population within service area","Percent","239","units","0","v1636028912","559.5.1.1.3.2","4.4","","","","1"
"2023","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","65 years and over","Count of population within service area","Persons","249","units","0","v1632248072","559.5.1.1.6.1","5705","","","","0"
"2024","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","65 years and over","Count of population within service area","Persons","249","units","0","v1632248072","559.5.1.1.6.1","5710","","","","0"
"2023","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","65 years and over","Proportion of population within service area","Percent","239","units","0","v1636271966","559.5.1.1.6.2","2.9","","","","1"
"2024","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","65 years and over","Proportion of population within service area","Percent","239","units","0","v1636271966","559.5.1.1.6.2","2.9","","","","1"
"2023","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Count of population within service area","Persons","249","units","0","v1635056696","559.5.1.1.56.1","38050","","","","0"
"2024","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Count of population within service area","Persons","249","units","0","v1635056696","559.5.1.1.56.1","38080","","","","0"
"2023","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Proportion of population within service area","Percent","239","units","0","v1639080590","559.5.1.1.56.2","4.1","","","","1"
"2024","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Proportion of population within service area","Percent","239","units","0","v1639080590","559.5.1.1.56.2","4.1","","","","1"
"2023","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","In the labour force","Count of population within service area","Persons","249","units","0","v1635137714","559.5.1.1.57.1","27055","","","","0"
"2024","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","In the labour force","Count of population within service area","Persons","249","units","0","v1635137714","559.5.1.1.57.1","27085","","","","0"
"2023","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","In the labour force","Proportion of population within service area","Percent","239","units","0","v1639161608","559.5.1.1.57.2","4.4","","","","1"
"2024","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","In the labour force","Proportion of population within service area","Percent","239","units","0","v1639161608","559.5.1.1.57.2","4.4","","","","1"
"2023","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","Employed","Count of population within service area","Persons","249","units","0","v1635218732","559.5.1.1.58.1","24150","","","","0"
"2024","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","Employed","Count of population within service area","Persons","249","units","0","v1635218732","559.5.1.1.58.1","24180","","","","0"
"2023","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","Employed","Proportion of population within service area","Percent","239","units","0","v1639242626","559.5.1.1.58.2","4.4","","","","1"
"2024","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","Employed","Proportion of population within service area","Percent","239","units","0","v1639242626","559.5.1.1.58.2","4.4","","","","1"
"2023","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","Unemployed","Count of population within service area","Persons","249","units","0","v1635299750","559.5.1.1.59.1","2910","","","","0"
"2024","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","Unemployed","Count of population within service area","Persons","249","units","0","v1635299750","559.5.1.1.59.1","2905","","","","0"
"2023","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","Unemployed","Proportion of population within service area","Percent","239","units","0","v1639323644","559.5.1.1.59.2","4.8","","","","1"
"2024","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","Unemployed","Proportion of population within service area","Percent","239","units","0","v1639323644","559.5.1.1.59.2","4.7","","","","1"
"2023","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","Not in the labour force","Count of population within service area","Persons","249","units","0","v1635380768","559.5.1.1.60.1","10990","","","","0"
"2024","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","Not in the labour force","Count of population within service area","Persons","249","units","0","v1635380768","559.5.1.1.60.1","10990","","","","0"
"2023","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","Not in the labour force","Proportion of population within service area","Percent","239","units","0","v1639404662","559.5.1.1.60.2","3.5","","","","1"
"2024","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","800 metres from high-capacity public transit stops only","Total, location","Total, gender","Not in the labour force","Proportion of population within service area","Percent","239","units","0","v1639404662","559.5.1.1.60.2","3.5","","","","1"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","Total - Age groups of the population - 100% data","Count of population within service area","Persons","249","units","0","v1631837851","572.1.1.1.1.1","72215","","","","0"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","Total - Age groups of the population - 100% data","Count of population within service area","Persons","249","units","0","v1631837851","572.1.1.1.1.1","72795","","","","0"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","Total - Age groups of the population - 100% data","Proportion of population within service area","Percent","239","units","0","v1635861745","572.1.1.1.1.2","56.1","","","","1"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","Total - Age groups of the population - 100% data","Proportion of population within service area","Percent","239","units","0","v1635861745","572.1.1.1.1.2","56.6","","","","1"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","0 to 14 years","Count of population within service area","Persons","249","units","0","v1631918869","572.1.1.1.2.1","9885","","","","0"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","0 to 14 years","Count of population within service area","Persons","249","units","0","v1631918869","572.1.1.1.2.1","10080","","","","0"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","0 to 14 years","Proportion of population within service area","Percent","239","units","0","v1635942763","572.1.1.1.2.2","52.2","","","","1"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","0 to 14 years","Proportion of population within service area","Percent","239","units","0","v1635942763","572.1.1.1.2.2","53.2","","","","1"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","15 to 64 years","Count of population within service area","Persons","249","units","0","v1631999887","572.1.1.1.3.1","44375","","","","0"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","15 to 64 years","Count of population within service area","Persons","249","units","0","v1631999887","572.1.1.1.3.1","44860","","","","0"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","15 to 64 years","Proportion of population within service area","Percent","239","units","0","v1636023781","572.1.1.1.3.2","56.8","","","","1"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","15 to 64 years","Proportion of population within service area","Percent","239","units","0","v1636023781","572.1.1.1.3.2","57.4","","","","1"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","65 years and over","Count of population within service area","Persons","249","units","0","v1632242941","572.1.1.1.6.1","17950","","","","0"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","65 years and over","Count of population within service area","Persons","249","units","0","v1632242941","572.1.1.1.6.1","17860","","","","0"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","65 years and over","Proportion of population within service area","Percent","239","units","0","v1636266835","572.1.1.1.6.2","56.9","","","","1"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","65 years and over","Proportion of population within service area","Percent","239","units","0","v1636266835","572.1.1.1.6.2","56.6","","","","1"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Count of population within service area","Persons","249","units","0","v1635051565","572.1.1.1.56.1","60355","","","","0"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Count of population within service area","Persons","249","units","0","v1635051565","572.1.1.1.56.1","60905","","","","0"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Proportion of population within service area","Percent","239","units","0","v1639075459","572.1.1.1.56.2","56.4","","","","1"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Proportion of population within service area","Percent","239","units","0","v1639075459","572.1.1.1.56.2","56.9","","","","1"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","In the labour force","Count of population within service area","Persons","249","units","0","v1635132583","572.1.1.1.57.1","34310","","","","0"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","In the labour force","Count of population within service area","Persons","249","units","0","v1635132583","572.1.1.1.57.1","34625","","","","0"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","In the labour force","Proportion of population within service area","Percent","239","units","0","v1639156477","572.1.1.1.57.2","55.4","","","","1"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","In the labour force","Proportion of population within service area","Percent","239","units","0","v1639156477","572.1.1.1.57.2","55.9","","","","1"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","Employed","Count of population within service area","Persons","249","units","0","v1635213601","572.1.1.1.58.1","29095","","","","0"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","Employed","Count of population within service area","Persons","249","units","0","v1635213601","572.1.1.1.58.1","29375","","","","0"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","Employed","Proportion of population within service area","Percent","239","units","0","v1639237495","572.1.1.1.58.2","54.0","","","","1"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","Employed","Proportion of population within service area","Percent","239","units","0","v1639237495","572.1.1.1.58.2","54.5","","","","1"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","Unemployed","Count of population within service area","Persons","249","units","0","v1635294619","572.1.1.1.59.1","5215","","","","0"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","Unemployed","Count of population within service area","Persons","249","units","0","v1635294619","572.1.1.1.59.1","5250","","","","0"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","Unemployed","Proportion of population within service area","Percent","239","units","0","v1639318513","572.1.1.1.59.2","64.7","","","","1"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","Unemployed","Proportion of population within service area","Percent","239","units","0","v1639318513","572.1.1.1.59.2","65.2","","","","1"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","Not in the labour force","Count of population within service area","Persons","249","units","0","v1635375637","572.1.1.1.60.1","26045","","","","0"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","Not in the labour force","Count of population within service area","Persons","249","units","0","v1635375637","572.1.1.1.60.1","26280","","","","0"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","Not in the labour force","Proportion of population within service area","Percent","239","units","0","v1639399531","572.1.1.1.60.2","57.7","","","","1"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from all public transit stops","Total, location","Total, gender","Not in the labour force","Proportion of population within service area","Percent","239","units","0","v1639399531","572.1.1.1.60.2","58.2","","","","1"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Age groups of the population - 100% data","Count of population within service area","Persons","249","units","0","v1631839137","572.2.1.1.1.1","72215","","","","0"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Age groups of the population - 100% data","Count of population within service area","Persons","249","units","0","v1631839137","572.2.1.1.1.1","72795","","","","0"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Age groups of the population - 100% data","Proportion of population within service area","Percent","239","units","0","v1635863031","572.2.1.1.1.2","56.1","","","","1"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Age groups of the population - 100% data","Proportion of population within service area","Percent","239","units","0","v1635863031","572.2.1.1.1.2","56.6","","","","1"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","0 to 14 years","Count of population within service area","Persons","249","units","0","v1631920155","572.2.1.1.2.1","9885","","","","0"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","0 to 14 years","Count of population within service area","Persons","249","units","0","v1631920155","572.2.1.1.2.1","10080","","","","0"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","0 to 14 years","Proportion of population within service area","Percent","239","units","0","v1635944049","572.2.1.1.2.2","52.2","","","","1"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","0 to 14 years","Proportion of population within service area","Percent","239","units","0","v1635944049","572.2.1.1.2.2","53.2","","","","1"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","15 to 64 years","Count of population within service area","Persons","249","units","0","v1632001173","572.2.1.1.3.1","44375","","","","0"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","15 to 64 years","Count of population within service area","Persons","249","units","0","v1632001173","572.2.1.1.3.1","44860","","","","0"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","15 to 64 years","Proportion of population within service area","Percent","239","units","0","v1636025067","572.2.1.1.3.2","56.8","","","","1"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","15 to 64 years","Proportion of population within service area","Percent","239","units","0","v1636025067","572.2.1.1.3.2","57.4","","","","1"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","65 years and over","Count of population within service area","Persons","249","units","0","v1632244227","572.2.1.1.6.1","17950","","","","0"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","65 years and over","Count of population within service area","Persons","249","units","0","v1632244227","572.2.1.1.6.1","17860","","","","0"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","65 years and over","Proportion of population within service area","Percent","239","units","0","v1636268121","572.2.1.1.6.2","56.9","","","","1"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","65 years and over","Proportion of population within service area","Percent","239","units","0","v1636268121","572.2.1.1.6.2","56.6","","","","1"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Count of population within service area","Persons","249","units","0","v1635052851","572.2.1.1.56.1","60360","","","","0"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Count of population within service area","Persons","249","units","0","v1635052851","572.2.1.1.56.1","60905","","","","0"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Proportion of population within service area","Percent","239","units","0","v1639076745","572.2.1.1.56.2","56.4","","","","1"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Proportion of population within service area","Percent","239","units","0","v1639076745","572.2.1.1.56.2","56.9","","","","1"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","In the labour force","Count of population within service area","Persons","249","units","0","v1635133869","572.2.1.1.57.1","34310","","","","0"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","In the labour force","Count of population within service area","Persons","249","units","0","v1635133869","572.2.1.1.57.1","34625","","","","0"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","In the labour force","Proportion of population within service area","Percent","239","units","0","v1639157763","572.2.1.1.57.2","55.4","","","","1"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","In the labour force","Proportion of population within service area","Percent","239","units","0","v1639157763","572.2.1.1.57.2","55.9","","","","1"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Employed","Count of population within service area","Persons","249","units","0","v1635214887","572.2.1.1.58.1","29090","","","","0"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Employed","Count of population within service area","Persons","249","units","0","v1635214887","572.2.1.1.58.1","29375","","","","0"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Employed","Proportion of population within service area","Percent","239","units","0","v1639238781","572.2.1.1.58.2","54.0","","","","1"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Employed","Proportion of population within service area","Percent","239","units","0","v1639238781","572.2.1.1.58.2","54.5","","","","1"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Unemployed","Count of population within service area","Persons","249","units","0","v1635295905","572.2.1.1.59.1","5220","","","","0"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Unemployed","Count of population within service area","Persons","249","units","0","v1635295905","572.2.1.1.59.1","5250","","","","0"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Unemployed","Proportion of population within service area","Percent","239","units","0","v1639319799","572.2.1.1.59.2","64.8","","","","1"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Unemployed","Proportion of population within service area","Percent","239","units","0","v1639319799","572.2.1.1.59.2","65.2","","","","1"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Not in the labour force","Count of population within service area","Persons","249","units","0","v1635376923","572.2.1.1.60.1","26045","","","","0"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Not in the labour force","Count of population within service area","Persons","249","units","0","v1635376923","572.2.1.1.60.1","26280","","","","0"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Not in the labour force","Proportion of population within service area","Percent","239","units","0","v1639400817","572.2.1.1.60.2","57.7","","","","1"
"2024","Peterborough, Census metropolitan area (CMA)","2021S0503529","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Not in the labour force","Proportion of population within service area","Percent","239","units","0","v1639400817","572.2.1.1.60.2","58.2","","","","1"
"2023","Peterborough, Census metropolitan area (CMA)","2021S0503529","500 metres from all public transit stops","Total, location","Total, gender","Total - Age groups of the population - 100% data","Count of population within service area","Persons","249","units","0","v1631840423","572.3.1.1.1.1","78165","","","","0"
